selfies,target
[N][C][=Branch1][C][=O][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.3
[O][=C][Branch1][C][O-1][C][C][=Branch1][C][=O][O-1],1.3
[NH3+1][C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][O-1],1.31
[NH3+1][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O-1],1.35
[NH3+1][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O],1.35
[C][C][=Branch1][C][=O][C][Branch1][C][N][=O],1.36
[C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][O],1.4
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1.4
[O][=C][Branch1][C][O-1][C][C][=Branch1][C][=O][O-1],1.4
[O][=C][Branch1][C][O-1][C][=Branch1][C][=O][O-1],1.4
[O][=C][Branch1][C][O-1][C][=C][C][=C][S][Ring1][Branch1],1.4
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][C][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][C][Ring1][O][C][Branch1][C][O][C][Branch1][C][O][C][O],1.43
[NH3+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.44
[NH3+1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.44
[NH3+1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.49
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][O][C][Branch1][Ring1][C][O][C][Branch2][Branch1][=C][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch2][Ring2][=Branch2][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Branch1][C][O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][O][C][Branch1][C][O][C][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C][Ring2][Ring1][=C][O][C][Ring2][Ring2][=Branch2][O],1.49
[O][=C][Branch1][C][O-1][C][C][C][C][=Branch1][C][=O][O-1],1.52
[O][=C][Branch1][C][O-1][C][Branch1][C][O][C][Branch1][C][O][C][=Branch1][C][=O][O-1],1.54
[O][C][C][Branch1][C][F][O][C][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],1.55
[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.59
[C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1],1.6
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1.6
[O][=S][=Branch1][C][=O][Branch1][C][O][C][C][NH1+1][C][C][O][C][C][Ring1][=Branch1],1.64
[C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Branch1][C][O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][O][C][Branch1][C][O][C][Branch1][C][O][C][NH3+1][O][Ring2][Ring1][Ring2],1.66
[C][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],1.66
[O][C][C][O][C][Branch2][Ring1][Branch1][S][C][C][Branch1][Ring1][C][O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.68
[C][=C][C][N][Branch1][S][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O][C][=Branch1][C][=O][N][C][Ring1][S][=O],1.68
[C][C][C][=Branch1][C][=O][O-1],1.7
[O][=C][Branch1][C][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1.7
[O][C][C][Branch1][C][O][O][C][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],1.7
[C][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][N][=C][N][Ring1][Branch1][C][N][Branch1][C][C][C][Ring1][N][=O],1.71
[N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][O],1.72
[C][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.72
[O][C][C][O][C][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][#Branch1][P][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][=Branch1][N][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][Branch1][#Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][Ring2][C][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][#C][O][C][Ring2][Ring2][Branch2][C][Branch1][C][O][C][Ring2][Ring2][=Branch2][O][C][Branch1][C][O][C][Ring1][#C][O][C][Branch1][C][O][C][Ring2][Ring1][#Branch2][O][C][Branch1][C][O][C][Ring2][Ring2][Branch1][O][C][Branch1][C][O][C][Ring2][Ring2][S][O][C][Branch1][C][O][C][Ring2][Branch1][O][O],1.72
[O][C][C][N][C][=Branch1][Ring1][=N][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O],1.74
[C][=C][C][N][Branch1][N][C][C][C][C][Branch1][Ring1][C][O][O][Ring1][#Branch1][C][=Branch1][C][=O][N][C][Ring1][=C][=O],1.74
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][C][Branch2][Ring1][Branch1][O][C][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][C][Ring2][Ring1][=Branch1][C][Branch1][C][O][C][Branch1][C][O][C][O],1.77
[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.79
[O][C][C][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch2][Ring1][Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][O][Ring2][Ring1][Ring2],1.8
[NH3+1][C][C][C][=C][NH1][C][=N][Ring1][Branch1],1.8
[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][Branch1][Ring1][C][O][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.82
[N][C][=Branch1][C][=NH2+1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.82
[O][=C][Branch1][C][O-1][C][Branch1][C][O][C][Branch1][C][O][C][=Branch1][C][=O][O-1],1.82
[NH3+1][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][C][C][Ring1][Branch2],1.82
[NH3+1][C][C][N][C][=N][N][=C][Branch2][Ring1][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][N][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][#Branch1][F][O][Ring2][Ring1][=Branch1],1.82
[NH3+1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][=N][Ring1][Branch1],1.82
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O],1.84
[O][=C][Branch1][O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][=C][Ring2][Ring1][C],1.85
[NH3+1][C][C][=C][C][=C][Branch1][Ring1][C][O][C][=C][Ring1][Branch2],1.85
[NH3+1][C][C][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.88
[O][=C][Branch1][C][O-1][C][C][C][C][C][C][C][C][Ring1][=Branch1],1.88
[NH3+1][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1.9
[C][C][=C][C][Branch1][C][N][=C][Branch1][C][N][C][=C][Ring1][Branch2][Cl],1.9
[C][C][Branch1][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.91
[N][C][=C][C][=C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][=C][Ring2][Ring1][C],1.92
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][O][C][Branch1][Ring1][C][O][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Ring2][Ring1][Branch1][O],1.92
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][O][C][Branch1][Ring1][C][O][C][Branch2][Branch1][=C][O][C][O][C][Branch2][Ring2][#Branch2][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Branch1][C][O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][O][C][Branch1][C][O][C][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][=C][O][C][Ring2][Ring2][=Branch2][O],1.92
[O][=C][Branch1][C][O-1][C][Branch1][C][O][C][Branch1][C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],1.94
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][NH2+1][C][Ring1][#Branch1],1.95
[NH3+1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.96
[O][=C][O][C][Branch1][Ring1][C][O][C][Branch2][Ring1][Branch1][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Ring2][Ring1][Branch1][O],1.98
[N][C][=Branch1][C][=NH2+1][N][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],2.0
[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][C][O],2.0
[N][C][=Branch1][C][=NH2+1][C][=C][C][=C][C][=C][Ring1][=Branch1],2.0
[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2],2.0
[C][NH1+1][Branch1][C][C][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.0
[C][C][C][=C][Branch1][C][C][NH1][N][Branch1][Branch2][C][=N][N][=N][NH1][Ring1][Branch1][C][Ring1][O][=O],2.0
[O][=C][Branch1][C][O-1][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],2.0
[C][N][C][=Branch1][C][=O][C][C][C][Branch1][C][O][C][N][Ring1][=Branch1][C][Branch1][C][C][=O],2.0
[N][C][=C][S][C][=N][C][=C][N][=C][Ring1][=Branch2][Ring1][=Branch1],2.0
[C][C][O][N][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Ring1][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O-1],2.0
[C][C][C][=N][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O],2.0
[C][C][=C][N][Branch1][#C][C][C][C][Branch1][C][O][C][Branch1][Ring1][C][O][O][Ring1][Branch2][C][=Branch1][C][=O][NH1][C][Ring1][#C][=O],2.0
[C][S][C][C][C][Branch2][#Branch2][#Branch2][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][Branch1][=Branch1][C][C][C][C][NH3+1][N][C][=Branch1][C][=O][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][O-1],2.04
[C][O][C][O][C][Branch1][Ring1][C][O][C][Branch2][Ring1][=Branch1][S][C][O][C][Branch1][Ring1][C][O][C][Branch1][Ring1][S][C][C][Branch1][C][O][C][Ring1][O][O][C][Branch1][C][O][C][Ring2][Ring1][=Branch1][O],2.05
[O][=C][Branch1][C][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1][S],2.05
[C][S][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],2.06
[C][O][C][O][C][Branch1][C][C][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],2.06
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][C][Ring1][#Branch2][C][Branch1][C][O][C][Branch1][C][O][C][O],2.06
[C][N][N][=C][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][=C][Ring1][=C][N],2.07
[C][C][C][C][C][S][C][=N][N][=C][NH1][Ring1][Branch1],2.07
[C][C][=C][C][Branch1][Ring1][C][NH3+1][=N][N][Ring1][#Branch1][C],2.08
[C][NH2+1][C][C][Branch1][C][O][C][Branch2][Ring2][N][O][C][C][Branch1][C][NH3+1][C][C][Branch1][C][NH3+1][C][Branch2][Ring1][Branch2][O][C][O][C][Branch1][=Branch1][C][Branch1][C][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][O][NH3+1][C][Ring2][Ring1][Branch1][O][O][C][C][Ring2][Ring1][=C][Branch1][C][C][O],2.1
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][C][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][C][Ring1][O][C][Branch1][C][O][C][Branch1][C][O][C][O],2.1
[C][C][C][N][C][=Branch1][C][=O][O][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][N][C][Branch1][C][C][=O],2.1
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=C][C][=C][Branch1][=Branch1][S+1][Branch1][C][C][O][C][=C][Ring1][=Branch2],2.11
[O][C][C][O][C][C][Branch1][C][F][C][Branch1][C][O][C][Ring1][Branch2][O],2.12
[C][C][=Branch1][C][=O][N][C][C][=C][S][C][=Ring1][Branch1][C][=Branch1][C][=O][O-1],2.12
[O][C][C][O][C][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][#Branch2][O][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][=Branch2][=Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][#Branch1][P][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][=Branch1][N][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][Branch1][#Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][Ring2][C][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][#C][O][C][Ring2][Branch1][=Branch1][C][Branch1][C][O][C][Ring2][Branch1][#Branch1][O][C][Branch1][C][O][C][Ring1][#C][O][C][Branch1][C][O][C][Ring2][Ring1][#Branch2][O][C][Branch1][C][O][C][Ring2][Ring2][Branch1][O][C][Branch1][C][O][C][Ring2][Ring2][S][O][C][Branch1][C][O][C][Ring2][Branch1][O][O][C][Branch1][C][O][C][Ring2][=Branch1][=Branch1][O][C][Branch1][C][O][C][Ring2][=Branch1][P][O],2.13
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][C][Branch2][Ring1][Branch1][O][C][C][Branch1][C][O][C][Branch1][C][O][O][C][Branch1][Ring1][C][O][C][Ring1][#Branch2][O][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][C][Ring2][Ring1][=Branch1][C][Branch1][C][O][C][Branch1][C][O][C][O],2.15
[NH3+1][C][C][C][C][Branch1][C][O][C][C][Ring1][#Branch1],2.15
[O][C][C][C][=C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][O][N][=Ring1][#Branch2],2.15
[O][=C][Branch1][C][O-1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],2.16
[C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][S][N][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Ring1][Branch2][=O][C][=C][Ring1][#C],2.17
[O][=C][Branch2][Ring2][C][N][C][C][=C][N][Branch2][Ring1][Ring1][C][C][C][Branch1][C][F][C][Branch1][C][O][C][Branch1][Ring1][C][O][O][Ring1][#Branch2][C][=Branch1][C][=O][N][=Ring1][P][C][=C][C][=C][C][=C][Ring1][=Branch1],2.18
[O][=C][Branch1][C][O-1][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1],2.19
[O][=C][Branch1][C][O-1][C][=C][C][=C][C][C][=C][O][C][Ring1][=Branch2][=Ring1][Branch1],2.19
[O][C][C][Branch1][C][F][O][C][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],2.19
[N][C][=C][C][C][NH2+1][C][C][C][NH3+1],2.19
[C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][N],2.19
[N][C][=Branch1][C][=NH2+1][N][C][C][C][C][N][C][=Branch1][C][=O][C][C][C][C][N][Ring1][Branch1][C][Ring1][#Branch2][=O],2.2
[O][C][C][=C][C][=C][C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=C],2.2
[C][C][O][C][=Branch1][C][=O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],2.21
[O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O][C][C][O],2.22
[C][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],2.22
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2.22
[O][=C][Branch1][C][O-1][C][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][O],2.23
[NH3+1][C][Branch1][Ring1][C][O][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][O-1],2.23
[C][N][N][=C][Branch1][C][N][C][=C][Ring1][=Branch1][C][=C][C][Branch1][C][Br][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][O][C][O][Ring1][=Branch1],2.23
[O][C][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][=Branch2][O],2.24
[O][=C][Branch1][C][O-1][C][C][C][C][=C][C][=C][S][Ring1][Branch1],2.24
[O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O],2.24
[C][C][O][C][Branch2][Ring2][#Branch2][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][Ring1][Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Ring2][Ring1][Branch1][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][#C][NH2+1][C][C][=C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O],2.25
[O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1],2.26
[O][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][N][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][C][=O][N][Ring1][#Branch1][C][Ring1][N],2.26
[C][C][NH1][C][=N][C][=Ring1][Branch1][C][NH1+1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2],2.26
[C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Branch1][C][O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][O][C][Branch1][C][O][C][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2],2.27
[NH3+1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],2.27
[O][=C][Branch1][C][O-1][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1],2.27
[O][=C][Branch1][C][O-1][C][=Branch1][C][=O][C][O],2.27
[O][=C][N][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][Ring1][C][O][N][Ring1][O][C][Ring1][=C][=O],2.28
[C][O][C][=C][C][=C][Branch1][P][C][Branch1][C][NH3+1][C][Branch1][C][F][Branch1][C][F][C][=Branch1][C][=O][O-1][C][=C][Ring1][=C],2.28
[O][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],2.28
[N][C][=C][C][=C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=C][Ring1][O],2.29
[O][=C][Branch1][C][O-1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1],2.29
[O][=C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][C][=O][N][Ring1][#Branch1][C][Ring1][N],2.29
[C][=C][C][=C][Branch2][Ring1][=C][As+1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch2],2.3
[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][C][NH3+1],2.3
[F][C][=N][C][Branch1][C][Cl][=C][N][=C][NH1][C][Ring1][Branch1][=N][Ring1][#Branch2],2.3
[Cl][C][=N][C][Branch1][C][Br][=N][C][NH1][C][=N][C][Ring1][#Branch2][=Ring1][Branch1],2.3
[C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][C][Branch2][Ring1][Branch1][O][C][C][Branch1][C][O][C][Branch1][C][O][O][C][Branch1][Ring1][C][O][C][Ring1][#Branch2][O][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O][C][Ring2][Ring1][=Branch1][C][Branch1][C][O][C][Branch1][C][O][C][O],2.3
[O][=C][N][C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][#Branch2][Ring1][Branch1],2.3
[O][=C][Branch1][C][O-1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],2.3
[C][C][=Branch1][C][=O][N][C][S][C][=C][C][=Ring1][Branch1][C][=Branch1][C][=O][O-1],2.3
[N][C][=N][N][=C][Branch1][C][N][NH1][Ring1][=Branch1],2.3
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2.3
